Brand,Model,Year,Country,Condition,Engine_Size,Horsepower,Torque,Weight,Top_Speed,Acceleration_0_100,Fuel_Type,Drivetrain,Transmission,Fuel_Efficiency,CO2_Emissions,Price,Mileage,Popularity,Safety_Rating,Number_of_Owners,Market_Demand,Insurance_Cost,Production_Units,Log_Price,Log_Mileage,Modification
Nissan,720S,2006,Asia,used,3.7,420,705,1785,238,5.7,Diesel,RWD,Automatic,10.5,307,81580,96664,Low,2,4,Medium,13410,5000,11.30935167,11.47900667,V-Spec
McLaren,911 Turbo S,2009,Europe,new,5.3,1104,766,992,386,4.6,Electric,RWD,DCT,9.4,113,308455,159630,High,2,2,Medium,10795,1000,12.63933449,11.98062018,
Chevrolet,M4 Competition,2009,USA,new,5.5,153,1573,2022,397,6.7,Diesel,FWD,Automatic,5,321,420374,111496,High,1,2,Low,1716,20000,12.94890245,11.62175296,
Bugatti,Chiron,1982,Asia,used,5.4,544,1009,1091,151,2.7,Petrol,RWD,CVT,7.3,343,123690,217228,High,2,4,Medium,11618,20000,11.7255418,12.28870738,
Nissan,Chiron,2022,Europe,new,2.4,980,693,1232,385,3,Petrol,AWD,DCT,6,246,75303,150318,Low,3,2,Medium,11324,100000,11.22928853,11.92051498,
BMW,GT-R,1986,Europe,new,5.4,1091,632,2135,341,3.4,Petrol,RWD,Automatic,8.2,374,478142,228779,High,2,3,Medium,5274,200,13.07766513,12.34051612,
Porsche,720S,1988,Asia,new,4.2,810,1222,2130,245,2.1,Electric,RWD,CVT,7.4,176,398429,222953,Medium,4,3,Medium,5645,5000,12.8952871,12.31472075,Nismo
Nissan,720S,2020,USA,new,7.4,1189,184,1526,185,6.7,Diesel,RWD,CVT,12.6,207,133803,202882,High,2,4,Medium,12037,50,11.80413132,12.22038474,V-Spec
Chevrolet,Mustang GT,2021,Europe,new,7.4,230,302,1885,245,4.2,Electric,RWD,CVT,10,429,245162,47481,Medium,1,2,Low,3899,1000,12.40967857,10.76810597,
Bugatti,DBS,1992,USA,new,6.5,675,1209,1472,382,4.4,Electric,FWD,CVT,13.2,210,451504,101321,Low,3,4,Medium,14850,5000,13.02034173,11.52605884,
McLaren,720S,1994,USA,salvage,6.1,168,954,1255,297,2.8,Petrol,AWD,Manual,11.4,224,396218,24465,High,2,3,Low,10529,200,12.88972237,10.10503968,
Chevrolet,Huracan,1984,Asia,used,2.3,340,1351,2176,332,6.4,Petrol,AWD,Automatic,11.6,192,203116,88572,Low,3,2,Low,6921,100000,12.22153745,11.39158235,
Chevrolet,DBS,2008,Europe,new,2.1,871,173,1490,186,5.5,Diesel,AWD,Manual,13.8,336,42412,45449,Low,1,4,Medium,9625,1000,10.6552102,10.7243681,Supercharged
Porsche,Huracan,2014,Europe,used,7,721,1364,1095,383,4.2,Electric,FWD,CVT,13.5,347,347528,115875,Medium,2,1,Low,14327,5000,12.75860339,11.66027593,GT
Aston Martin,Chiron,2006,USA,new,4.3,879,355,1161,251,6.4,Diesel,RWD,DCT,5.6,242,405877,18299,Low,4,2,High,10760,100000,12.9138079,9.814656339,Turbo
Bugatti,DBS,2006,Asia,used,4.5,301,1008,1221,374,6.5,Diesel,AWD,Automatic,10.8,308,449165,17371,High,3,3,Low,3523,200,13.01514781,9.762614994,
Lamborghini,720S,1987,Asia,new,7,967,731,1319,329,2.2,Diesel,AWD,Automatic,9.1,418,148171,175288,Medium,2,1,Medium,12833,20000,11.90612904,12.07419132,V-Spec
Chevrolet,911 Turbo S,2011,Asia,new,5.6,571,1078,2421,218,2.6,Diesel,RWD,CVT,11,122,472153,43266,Low,4,3,High,2636,100000,13.06506048,10.6751455,
Aston Martin,GT-R,1999,USA,used,2.7,1212,557,1231,219,2.1,Petrol,AWD,DCT,13.6,109,160119,80787,Medium,1,3,Low,4362,5000,11.98367881,11.29958372,
Lamborghini,Huracan,1989,USA,new,3,663,1123,2219,299,4.9,Diesel,RWD,DCT,5.1,355,497597,48529,High,4,4,Medium,5103,1000,13.1175478,10.78993744,
Bugatti,DBS,1992,Europe,used,1.6,494,1246,2159,362,3.1,Petrol,FWD,Automatic,5.1,276,434604,104880,Low,1,3,High,6916,100000,12.98219285,11.56058165,
Ferrari,720S,2008,Asia,new,6.1,496,1579,1580,360,6.2,Diesel,AWD,Manual,5.6,353,367143,24228,High,3,1,Medium,13907,200,12.81350942,10.09530554,Track Edition
